order_id,customer_id,email,first_name,last_name,created_at,total_price,product_name,quantity,financial_status
ORD11340,CUST1266,nadia.akhtar266@email.com,Nadia,Akhtar,2025-06-26 13:03:46,26997,Mechanical Keyboard,3,paid
ORD11087,CUST1212,hina.mirza212@email.com,Hina,Mirza,2025-06-26 13:03:46,999,Phone Case Premium,1,paid
ORD11363,CUST1269,kamran.ahmed269@email.com,Kamran,Ahmed,2025-06-26 13:03:46,1497,Screen Protector Pack,3,paid
ORD10514,CUST1092,amna.hassan92@email.com,Amna,Hassan,2025-06-26 13:03:46,4999,Wireless Earbuds Pro,1,paid
ORD11168,CUST1230,nadia.akhtar230@email.com,Nadia,Akhtar,2025-06-26 13:03:46,7497,Laptop Stand Adjustable,3,paid
ORD11183,CUST1235,sana.akhtar235@email.com,Sana,Akhtar,2025-06-26 13:03:46,14997,Wireless Earbuds Pro,3,paid
ORD10123,CUST1020,ahmed.sheikh20@email.com,Ahmed,Sheikh,2025-06-26 13:03:46,7497,Laptop Stand Adjustable,3,paid
ORD11059,CUST1205,sana.ali205@email.com,Sana,Ali,2025-06-27 13:03:46,38997,Smart Watch Series X,3,paid
ORD11117,CUST1219,omar.mirza219@email.com,Omar,Mirza,2025-06-28 13:03:46,25998,Smart Watch Series X,2,paid
ORD10142,CUST1025,sara.hassan25@email.com,Sara,Hassan,2025-06-28 13:03:46,4999,Wireless Earbuds Pro,1,paid
ORD10003,CUST1000,ayesha.khan0@email.com,Ayesha,Khan,2025-06-28 13:03:46,38997,Smart Watch Series X,3,paid
ORD10603,CUST1109,bilal.hassan109@email.com,Bilal,Hassan,2025-06-28 13:03:46,1998,Phone Case Premium,2,paid
ORD11037,CUST1198,imran.khan198@email.com,Imran,Khan,2025-06-28 13:03:46,999,Phone Case Premium,1,paid
ORD10581,CUST1105,shahid.sheikh105@email.com,Shahid,Sheikh,2025-06-28 13:03:46,7497,Laptop Stand Adjustable,3,paid
ORD10382,CUST1070,nadia.akhtar70@email.com,Nadia,Akhtar,2025-06-29 13:03:46,14997,Wireless Earbuds Pro,3,paid
ORD10261,CUST1052,imran.ahmed52@email.com,Imran,Ahmed,2025-06-30 13:03:46,38997,Smart Watch Series X,3,paid
ORD11120,CUST1220,shahid.akhtar220@email.com,Shahid,Akhtar,2025-07-01 13:03:46,2997,Phone Case Premium,3,paid
ORD10793,CUST1149,tariq.chaudhry149@email.com,Tariq,Chaudhry,2025-07-01 13:03:46,6998,USB-C Hub 7-in-1,2,paid
ORD10404,CUST1073,ahmed.chaudhry73@email.com,Ahmed,Chaudhry,2025-07-01 13:03:46,17998,Mechanical Keyboard,2,paid
ORD10232,CUST1048,faisal.malik48@email.com,Faisal,Malik,2025-07-02 13:03:46,9998,Wireless Earbuds Pro,2,paid
ORD10671,CUST1123,zara.ali123@email.com,Zara,Ali,2025-07-02 13:03:46,9998,Wireless Earbuds Pro,2,paid
ORD10124,CUST1020,ahmed.sheikh20@email.com,Ahmed,Sheikh,2025-07-04 13:03:46,499,Screen Protector Pack,1,paid
ORD11362,CUST1269,kamran.ahmed269@email.com,Kamran,Ahmed,2025-07-05 13:03:46,38997,Smart Watch Series X,3,paid
ORD10968,CUST1179,nadia.malik179@email.com,Nadia,Malik,2025-07-05 13:03:46,17997,Webcam HD 1080p,3,paid
ORD10044,CUST1004,ahmed.hassan4@email.com,Ahmed,Hassan,2025-07-07 13:03:46,2499,Laptop Stand Adjustable,1,paid
ORD10200,CUST1038,rabia.sheikh38@email.com,Rabia,Sheikh,2025-07-07 13:03:46,14997,Wireless Earbuds Pro,3,paid
ORD10066,CUST1008,ali.ali8@email.com,Ali,Ali,2025-07-07 13:03:46,998,Screen Protector Pack,2,paid
ORD10423,CUST1078,zara.ali78@email.com,Zara,Ali,2025-07-07 13:03:46,4998,Laptop Stand Adjustable,2,paid
ORD10047,CUST1004,ahmed.hassan4@email.com,Ahmed,Hassan,2025-07-10 13:03:46,26997,Mechanical Keyboard,3,paid
ORD11035,CUST1198,imran.khan198@email.com,Imran,Khan,2025-07-10 13:03:46,998,Screen Protector Pack,2,paid
ORD11366,CUST1270,omar.mirza270@email.com,Omar,Mirza,2025-07-11 13:03:46,17998,Mechanical Keyboard,2,paid
